"Reference","Qty","Value","Manufacturer_Part_Number","Mouser Part Number","Manufacturer_Name"
"C7,C9,C10,C11,C12,C16,C18,C19,C20,C24,C25,C26,C27","13","100n","885012104005","710-885012104005","Wurth Elektronik"
"C22","1","10n","885012104014","710-885012104014","Wurth Elektronik"
"C1,C3,C14","3","1u","885012105012 ","710-885012105012 ","Wurth Elektronik"
"C2,C6,C23","3","4.7u","885012105012","710-885012105012","Wurth Elektronik"
"C5","1","0.1u","GRM155R62A104ME4J","81-GRM155R62A104ME4J","Murata"
"C21","1","2.2u","885012105007","710-885012105007","Wurth Elektronik"
"C4,C13","2","2.2u","GRT21BD72A225KE13","81-GRT21BD72A225KE13","Murata"
"C8,C17","2","47u","GRM21BR61A476ME5K","81-GRM21BR61A476ME5K","Murata"
"J1","1","USB4110-GF-A","629722000214","710-629722000214","Wurth Elektronik"
"LEDBLUE1","1","150040BS73240","150040BS73240","710-150040BS73240","Wurth Elektronik"
"LEDGREEN1","1","150040GS73240","150040GS73240","710-150040GS73240","Wurth Elektronik"
"LEDRED3,LEDRED4","2","150040RS73240","150040RS73240","710-150040RS73240","Wurth Elektronik"
"U2","1","STM32G473CEUx","STM32G473CEU6","511-STM32G473CEU6","STMicroelectronics"
"R1,R10","2","5.1k","ERJ-1GNF5101C","667-ERJ-1GNF5101C","Panasonic"
"R2,R41","2","100k","ERJ-1GNF1003C","667-ERJ-1GNF1003C","Panasonic"
"R3,R9,R15","3","10k","ERJ-1GNF1002C","667-ERJ-1GNF1002C","Panasonic"
"R5,R6,R8,R14,R21,R22","6","1k","ERJ-1GNF1001C"," 667-ERJ-1GNF1001C","Panasonic"
"R7","1","20k","ERJ-1GNF2002C","667-ERJ-1GNF2002C","Panasonic"
"R11","1","19.1k","ERJ-1GNF1912C","667-ERJ-1GNF1912C","Panasonic"
"R13,R44,R45,R46,R47,R56,R61","7","22R","ERJ-1GNF22R0C","667-ERJ-1GNF22R0C","Panasonic"
"R17","1","100R","ERJ-1GNF1000C","667-ERJ-1GNF1000C","Panasonic"
"FB1","1","74279220800","710-74279220800","710-74279220800","Wurth Elektronik"
"L1","1","74479335329247","74479335329247","710-74479335329247","Wurth Elektronik"
"J3","1","SM06B-SRSS-TB","SM06B-SRSS-TB","306-M06BSRSSTBLFSNPP","JST (JAPAN SOLDERLESS TERMINALS)"
"IC4,IC5","2","LDL212PV33R","LDL212PV33R","511-LDL212PV33R","STMicroelectronics"
"IC3","1","MX25R1635FZUIH0","MX25R1635FZUIH0","95-25R1635FZUIH0TR","Macronix"
"D1","1","SP3222-02ETG","SP3222-02ETG","576-SP3222-02ETG","LITTELFUSE"
"S3","1","435151014824","435151014824","710-435151014824","Wurth Elektronik"
"Q1","1","2N7002KQBZ","2N7002KQBZ","771-2N7002KQBZ","Nexperia"
"Y2","1","CSTNE8M00GH5C000R0","CSTNE8M00GH5C000R0","81-CSTNE8M00GH5C000R","Murata Electronics"
"IC1","1","ICM-42688-P","ICM-42688-P","410-ICM-42688-P","TDK"
"J2","1","SM08B-SRSS-TB","SM08B-SRSS-TB","306-SM08BSRSSTB","JST (JAPAN SOLDERLESS TERMINALS)"
"D10,D11","2","BAT60JFILM","BAT60JFILM","511-BAT60JFILM","STMicroelectronics"
"IC2","1","LMR51625YFDDCR","LMR51625YFDDCR","595-LMR51625YFDDCR","Texas Instruments"
