"Reference","Qty","Value","Manufacturer_Part_Number","LCSC Part Number","PRICE(1U)","PRICE(100u)"
"LEDRED3,LEDRED4","2","150040RS73240","TZ-P2-0402RTIA1-0.45T","C779449","",""
"LEDGREEN1","1","150040GS73240"," SZYY0402G","C434446","",""
"LEDBLUE1","1","150040BS73240","XL-1005UBC","C22355736","",""
"L1","1","ZEPIM303020D-4R7M","ZEPIM303020D-4R7M","C49009083","",""
"J1","1","USB4105-GF-A","USB4105-GF-A","C3025063","",""
"FB1","1","MPZ2012S101ATD25","MPZ2012S101ATD25","C307776","",""
"C21","1","2.2u","CC0402KRX5R7BB225","C326556","",""
"C7,C9,C10,C11,C12,C16,C18,C19,C20,C22,C24,C25,C26,C27","14","100n"," CC0201KRX5R8BB104","C718252","",""
"C2,C6,C23","3","4.7u","CC0402MRX5R7BB475","C723999","",""
"C1,C3,C14","3","1u","CC0402KRX5R7BB105","C325464","",""
"IC2","1","LMR51625YFDDCR","LMR51625YFDDCR","C45262768","",""
"IC1","1","ICM-42688P","ICM-42688P","C46550687","",""
"U2","1","STM32G473CEUx","STM32G473CEU6","C1342773","",""
"IC4,IC5","2","LDL212PV33R","LDL212PV33R","C2969892","",""
"D10,D11","2","BAT60JFILM","BAT60JFILM","C133103","",""
"S1","1","TS2306A-240GF-MSM-9_C388290","TS2306A-240GF-MSM-9_C388290","C2976675","",""
"R13,R17,R44,R45,R46,R47,R56,R61","8","47R","RC0201FR-0747RL","C273279","",""
"R5,R6,R8,R14,R21,R22","6","1k","RC0201FR-071KL","C138165","",""
"R3,R7,R9,R11,R15","5","19.1k"," RC0201FR-0719K6L","C474565","",""
"R2,R41","2","100k","RC0201FR-07100KL","C106224","",""
"R1,R10","2","5.1k","RC0201FR-075K1L","C274341","",""
"Q2","1","PMZB150UNEYL","TPM2025NP3","C49230916","",""
"Y2","1","CSTNE8M00GH5C000R0","CSTNE8M00GH5C000R0","C341525","",""
"C8,C17","2","47u","GRM21BR61A476ME15K","C2292827","",""
"C5","1","0.1u","GRM155R62A104KE14D","C162178","",""
"C4,C13","2","2.2u","GRM21BD72A225KE01L","C2981733","",""
"IC3","1","ZD25WQ32CEIGR","ZD25WQ32CEIGR","C5258281","",""
"D1","1","TPSP3222-02ETG","TPSP3222-02ETG","C47117640","",""
"J3","1","SM06B-SRSS-TB","SM06B-SRSS-TB","C160405","",""
"J2","1","SM08B-SRSS-TB","SM08B-SRSS-TB","C160407","",""
